openmlid,PercOutliers
3,5.7571964956195245
6,5.3613867187499995
11,20.0
12,0.4657179818887452
13,5.971479500891266
14,0.050160712282114404
16,0.050151630319795006
18,0.07087343381151262
21,14.285714285714285
22,0.05015901474888476
23,4.827744470898712
24,4.647168882323979
26,11.11111111111111
28,3.971631481813156
30,0.10998680158380994
31,0.7176415970287836
32,0.8962929620456669
36,0.12819021774245654
38,0.6807137671657222
44,0.11925700299567324
46,10.435485456511529
54,1.2389856006877282
55,2.151770034199094
57,0.6807137671657222
60,0.1600896502041143
61,3.2520325203252036
179,0.02094213478330798
180,0.0840935170247576
181,1.3400217203569467
182,1.2829650748396295
184,9.376188099990495
185,0.19792054806439227
188,0.8901829984809836
201,0.3780882564323703
273,1.9363116064213493
293,0.0764191615449046
299,0.49504950495049505
300,0.028641567207282694
336,6.469186244467143
346,3.6363636363636362
351,0.2939015429831006
354,8.81826805706917
357,14.440443325755115
380,1.639344262295082
389,1.139027354934168
390,0.28326310453867565
391,0.9824437232787543
392,0.8571206146403052
393,0.5401423672449741
395,0.7473405230972164
396,0.5159871915808715
398,0.8111350157506643
399,0.2212825662844962
401,0.8490167651760158
446,0.9287925696594427
554,0.12183232795539961
679,2.2222222222222223
715,0.10001600256040967
718,0.1000210044109263
720,0.11572160687716977
722,0.3780882564323703
723,0.1
727,0.0
728,3.1025243266111975
734,0.7542070933550754
735,0.03394228018752972
737,0.0332409972299169
740,0.1000100010001
741,1.6336323302469136
743,0.1
751,0.10002000400080016
752,0.01222115711443204
761,0.03801596335331552
772,0.07327796775769418
797,0.10001200144017283
799,0.10002000400080016
803,0.6605019815059445
806,0.1000100010001
807,0.012224378466757332
813,0.1
816,0.012227181023415051
819,0.7507899011991105
821,0.007160892756194468
822,0.028325602804234677
823,0.025607374923978105
833,0.013979537452054555
837,0.1000060003600216
843,0.008389459115791484
845,0.1
846,0.5637248564037657
847,0.22243406418811568
849,0.10002000400080016
866,0.10001600256040967
871,0.026252231439672372
881,0.0033679775473220972
897,0.27876376308853507
901,0.0999000999000999
903,0.1000040001600064
904,0.10001400196027443
910,0.1000100010001
912,0.1
913,0.10003000900270081
914,1.7857142857142856
917,0.1000080006400512
923,0.0185201903362891
930,0.18283385010347833
934,0.7575757575757576
953,10.435485456511529
958,0.12850314763851262
959,11.11111111111111
962,0.07088630584816563
966,0.19792054806439227
971,0.05041091528976327
976,0.011783024028952573
977,5.3613867187499995
978,0.4657179818887452
979,0.1600896502041143
980,3.971631481813156
991,14.285714285714285
993,0.5410341136910268
995,0.05055557348306388
1000,0.6807137671657222
1002,0.18424095352145
1018,0.17521782380797837
1019,0.8962929620456669
1020,0.050158312172795386
1021,0.10998680158380994
1036,0.2746516944988941
1040,0.27474860579852145
1041,0.1801477725627234
1042,0.1801477725627234
1049,0.3620742689027493
1050,0.3287848764996684
1053,0.0641358062659321
1056,0.2513048159869877
1067,0.29351452831740266
1068,0.32290710147445284
1069,0.3301525894466426
1083,0.6061539524326193
1084,0.546640453699556
1085,0.7473504921436788
1086,0.4564002826254217
1087,0.4564002826254217
1088,0.30783483139715967
1111,0.02743285247914283
1112,0.02743285247914283
1114,0.02743285247914283
1116,0.3089665734654807
1119,0.028775069380536047
1120,0.006797773049548967
1128,5.541411962123936
1130,5.541411962123936
1134,5.541411962123936
1138,5.541411962123936
1139,5.541411962123936
1142,5.541411962123936
1146,5.541411962123936
1161,5.541411962123936
1166,5.541411962123936
1216,7.816740410761626
1233,3.8246172468673643
1235,7.7833
1236,0.0
1441,6.399833229101522
1448,6.753899021940259
1450,7.712820512820513
1457,4.883366666666666
1461,6.6844742364885175
1464,3.241978609625668
1465,0.0
1468,0.6583160263066805
1475,8.503996564300778
1477,4.51908447996255
1479,17.716171617161717
1483,6.800965321224936
1485,1.043923076923077
1486,8.144394363096994
1487,1.835043409629045
1488,4.032634032634032
1489,4.548482605477424
1494,6.313720957114785
1499,0.3401360544217687
1503,1.1212334327477003
1509,5.036428896686577
1515,7.349589114913107
1566,18.265676567656765
1567,0.0
1575,11.152003968715068
1590,3.211833687244195
1591,5.247561671026301
1592,5.592621527777777
1597,4.484246621698929
4134,5.39726943685888
4135,0.05127132573332512
4137,0.9088730434782609
4534,9.316385984515923
4538,18.61041476754786
4541,0.31923210217589726
23512,3.145953230858891
23517,0.0
40498,1.972975982775901
40664,14.285714285714285
40668,5.247561671026301
40670,11.280951384529539
40672,4.148209814972375
40677,0.7721354166666666
40685,14.890038314176246
40687,4.817743232377379
40701,3.68969696969697
40713,4.694434625505675
40900,0.24509803921568626
40910,1.0315382528486163
40971,2.731578947368421
40975,14.285714285714285
40978,0.7724887722560029
40981,5.213940648723257
40982,4.6959375655923825
40983,4.062822897292829
40984,6.561147186147186
40996,4.498524052478134
41142,3.2872378837890235
41143,5.583229605515128
41144,0.8276565919878023
41145,2.4758163647052536
41146,1.9662373145979704
41150,3.965493910690122
41156,5.429125472228921
41157,6.597300000000001
41158,6.106408231728251
41159,11.506102188081936
41161,12.78842877094972
41163,4.735
41164,1.3878535874711666
41165,1.2370583333333334
41166,5.047590464757332
41167,7.460843016457306
41168,2.6463304215206094
41169,3.0774439695232383
41228,0.0
41540,8.997177704354858
41972,2.9772627853336515
42720,0.06938335831245858
42733,0.005133569243518152
42734,0.0941385440757681
42742,2.8346274190022194
42769,3.1508535714285713
42809,0.003056278935185185
42810,0.002634910300925926

